Afghanistan,Racism
Albania,Gender identity
Algeria,Religion
American Samoa,Drugs and alcohol abuse
Andorra,Government and social life
Angola,Education disparity
Antigua and Barbuda,War
Argentina,Materialism
Armenia,Family and single parenthood
Australia,Obesity and social life
Austria,Poverty and social life
Azerbaijan,The power of advertisements
Bahrain,Procrastination
Bangladesh,Unemployment
Barbados,Population explosion
Belarus,Sexual abuse
Belgium,Lack of infrastructure
Belize,Prostitution
Benin,Alcoholism
Bermuda,Political Corruption
Bhutan,Drug abuse
Bolivia,Economic Deprivation
Bosnia and Herzegovina,Delinquency
Botswana,Anti social behavior
Brazil,Beggary
Brunei,Public health
Bulgaria,Social inequality
Burkina Faso,Education and public schools
Burundi,Crime and the justice system
Cambodia,Hunger
Cameroon,Racism
Canada,Gender identity
Cape Verde,Religion
Central African Republic,Drugs and alcohol abuse
Chad,Government and social life
Chile,Education disparity
China,War
Colombia,Materialism
Comoros,Family and single parenthood
Congo,Obesity and social life
Costa Rica,Poverty and social life
Cote d'Ivoire,The power of advertisements
Croatia,Procrastination
Cuba,Unemployment
Cyprus,Population explosion
Czech Republic,Sexual abuse
Democratic Republic of the Congo,Lack of infrastructure
Denmark,Prostitution
Djibouti,Alcoholism
Dominica,Political Corruption
Dominican Republic,Drug abuse
Ecuador,Economic Deprivation
Egypt,Delinquency
El Salvador,Anti social behavior
Equatorial Guinea,Beggary
Eritrea,Public health
Estonia,Social inequality
Ethiopia,Education and public schools
Federated States of Micronesia,Crime and the justice system
Fiji,Hunger
Finland,Racism
France,Gender identity
Gabon,Religion
Georgia,Drugs and alcohol abuse
Germany,Government and social life
Ghana,Education disparity
Greece,War
Greenland,Materialism
Grenada,Family and single parenthood
Guam,Obesity and social life
Guatemala,Poverty and social life
Guinea,The power of advertisements
Guinea-Bissau,Procrastination
Guyana,Unemployment
Haiti,Population explosion
Honduras,Sexual abuse
Hungary,Lack of infrastructure
Iceland,Prostitution
India,Alcoholism
Indonesia,Political Corruption
Iran,Drug abuse
Iraq,Economic Deprivation
Ireland,Delinquency
Israel,Anti social behavior
Italy,Beggary
Jamaica,Public health
Japan,Social inequality
Jordan,Education and public schools
Kazakhstan,Crime and the justice system
Kenya,Hunger
Kiribati,Racism
Kuwait,Gender identity
Kyrgyzstan,Religion
Laos,Drugs and alcohol abuse
Latvia,Government and social life
Lebanon,Education disparity
Lesotho,War
Liberia,Materialism
Libya,Family and single parenthood
Lithuania,Obesity and social life
Luxembourg,Poverty and social life
Macedonia,The power of advertisements
Madagascar,Procrastination
Malawi,Unemployment
Malaysia,Population explosion
Maldives,Sexual abuse
Mali,Lack of infrastructure
Malta,Prostitution
Marshall Islands,Alcoholism
Mauritania,Political Corruption
Mauritius,Drug abuse
Mexico,Economic Deprivation
Moldova,Delinquency
Mongolia,Anti social behavior
Montenegro,Beggary
Morocco,Public health
Mozambique,Social inequality
Myanmar,Education and public schools
Namibia,Crime and the justice system
Nepal,Hunger
Netherlands,Racism
New Zealand,Gender identity
Nicaragua,Religion
Niger,Drugs and alcohol abuse
Nigeria,Government and social life
North Korea,Education disparity
Northern Mariana Islands,War
Norway,Materialism
Oman,Family and single parenthood
Pakistan,Obesity and social life
Palestine,Poverty and social life
Panama,The power of advertisements
Papua New Guinea,Procrastination
Paraguay,Unemployment
Peru,Population explosion
Philippines,Sexual abuse
Poland,Lack of infrastructure
Portugal,Prostitution
Puerto Rico,Alcoholism
Qatar,Political Corruption
Romania,Drug abuse
Russian Federation,Economic Deprivation
Rwanda,Delinquency
Saint Lucia,Anti social behavior
Saint Vincent and the Grenadines,Beggary
Samoa,Public health
Sao Tome and Principe,Social inequality
Saudi Arabia,Education and public schools
Senegal,Crime and the justice system
Serbia,Hunger
Seychelles,Racism
Sierra Leone,Gender identity
Singapore,Religion
Slovakia,Drugs and alcohol abuse
Slovenia,Government and social life
Solomon Islands,Education disparity
Somalia,War
South Africa,Materialism
South Korea,Family and single parenthood
South Sudan,Obesity and social life
Spain,Poverty and social life
Sri Lanka,The power of advertisements
Sudan,Procrastination
Suriname,Unemployment
Swaziland,Population explosion
Sweden,Sexual abuse
Switzerland,Lack of infrastructure
Syria,Prostitution
Taiwan (Province of China),Alcoholism
Tajikistan,Political Corruption
Tanzania,Drug abuse
Thailand,Economic Deprivation
The Bahamas,Delinquency
The Gambia,Anti social behavior
Timor-Leste,Beggary
Togo,Public health
Tonga,Social inequality
Trinidad and Tobago,Education and public schools
Tunisia,Crime and the justice system
Turkey,Hunger
Turkmenistan,Racism
Uganda,Gender identity
Ukraine,Religion
United Arab Emirates,Drugs and alcohol abuse
United Kingdom,Government and social life
United States,Education disparity
Uruguay,War
Uzbekistan,Materialism
Vanuatu,Family and single parenthood
Venezuela,Obesity and social life
Vietnam,Poverty and social life
"Virgin Islands, U.S.",The power of advertisements
Yemen,Procrastination
Zambia,Unemployment
Zimbabwe,Population explosion
Afghanistan,Sexual abuse
Albania,Lack of infrastructure
Algeria,Prostitution
American Samoa,Alcoholism
Andorra,Political Corruption
Angola,Drug abuse
Antigua and Barbuda,Economic Deprivation
Argentina,Delinquency
Armenia,Anti social behavior
Australia,Beggary
Austria,Public health
Azerbaijan,Social inequality
Bahrain,Education and public schools
Bangladesh,Crime and the justice system
Barbados,Hunger
Belarus,Racism
Belgium,Gender identity
Belize,Religion
Benin,Drugs and alcohol abuse
Bermuda,Government and social life
Bhutan,Education disparity
Bolivia,War
Bosnia and Herzegovina,Materialism
Botswana,Family and single parenthood
Brazil,Obesity and social life
Brunei,Poverty and social life
Bulgaria,The power of advertisements
Burkina Faso,Procrastination
Burundi,Unemployment
Cambodia,Population explosion
Cameroon,Sexual abuse
Canada,Lack of infrastructure
Cape Verde,Prostitution
Central African Republic,Alcoholism
Chad,Political Corruption
Chile,Drug abuse
China,Economic Deprivation
Colombia,Delinquency
Comoros,Anti social behavior
Congo,Beggary
Costa Rica,Public health
Cote d'Ivoire,Social inequality
Croatia,Education and public schools
Cuba,Crime and the justice system
Cyprus,Hunger
Czech Republic,Racism
Democratic Republic of the Congo,Gender identity
Denmark,Religion
Djibouti,Drugs and alcohol abuse
Dominica,Government and social life
Dominican Republic,Education disparity
Ecuador,War
Egypt,Materialism
El Salvador,Family and single parenthood
Equatorial Guinea,Obesity and social life
Eritrea,Poverty and social life
Estonia,The power of advertisements
Ethiopia,Procrastination
Federated States of Micronesia,Unemployment
Fiji,Population explosion
Finland,Sexual abuse
France,Lack of infrastructure
Gabon,Prostitution
Georgia,Alcoholism
Germany,Political Corruption
Ghana,Drug abuse
Greece,Economic Deprivation
Greenland,Delinquency
Grenada,Anti social behavior
Guam,Beggary
Guatemala,Public health
Guinea,Social inequality
Guinea-Bissau,Education and public schools
Guyana,Crime and the justice system
Haiti,Hunger
Honduras,Racism
Hungary,Gender identity
Iceland,Religion
India,Drugs and alcohol abuse
Indonesia,Government and social life
Iran,Education disparity
Iraq,War
Ireland,Materialism
Israel,Family and single parenthood
Italy,Obesity and social life
Jamaica,Poverty and social life
Japan,The power of advertisements
Jordan,Procrastination
Kazakhstan,Unemployment
Kenya,Population explosion
Kiribati,Sexual abuse
Kuwait,Lack of infrastructure
Kyrgyzstan,Prostitution
Laos,Alcoholism
Latvia,Political Corruption
Lebanon,Drug abuse
Lesotho,Economic Deprivation
Liberia,Delinquency
Libya,Anti social behavior
Lithuania,Beggary
Luxembourg,Public health
Macedonia,Social inequality
Madagascar,Education and public schools
Malawi,Crime and the justice system
Malaysia,Hunger
Maldives,Racism
Mali,Gender identity
Malta,Religion
Marshall Islands,Drugs and alcohol abuse
Mauritania,Government and social life
Mauritius,Education disparity
Mexico,War
Moldova,Materialism
Mongolia,Family and single parenthood
Montenegro,Obesity and social life
Morocco,Poverty and social life
Mozambique,The power of advertisements
Myanmar,Procrastination
Namibia,Unemployment
Nepal,Population explosion
Netherlands,Sexual abuse
New Zealand,Lack of infrastructure
Nicaragua,Prostitution
Niger,Alcoholism
Nigeria,Political Corruption
North Korea,Drug abuse
Northern Mariana Islands,Economic Deprivation
Norway,Delinquency
Oman,Anti social behavior
Pakistan,Beggary
Palestine,Public health
Panama,Social inequality
Papua New Guinea,Education and public schools
Paraguay,Crime and the justice system
Peru,Hunger
Philippines,Racism
Poland,Gender identity
Portugal,Religion
Puerto Rico,Drugs and alcohol abuse
Qatar,Government and social life
Romania,Education disparity
Russian Federation,War
Rwanda,Materialism
Saint Lucia,Family and single parenthood
Saint Vincent and the Grenadines,Obesity and social life
Samoa,Poverty and social life
Sao Tome and Principe,The power of advertisements
Saudi Arabia,Procrastination
Senegal,Unemployment
Serbia,Population explosion
Seychelles,Sexual abuse
Sierra Leone,Lack of infrastructure
Singapore,Prostitution
Slovakia,Alcoholism
Slovenia,Political Corruption
Solomon Islands,Drug abuse
Somalia,Economic Deprivation
South Africa,Delinquency
South Korea,Anti social behavior
South Sudan,Beggary
Spain,Public health
Sri Lanka,Social inequality
Sudan,Education and public schools
Suriname,Crime and the justice system
Swaziland,Hunger
Sweden,Racism
Switzerland,Gender identity
Syria,Religion
Taiwan (Province of China),Drugs and alcohol abuse
Tajikistan,Government and social life
Tanzania,Education disparity
Thailand,War
The Bahamas,Materialism
The Gambia,Family and single parenthood
Timor-Leste,Obesity and social life
Togo,Poverty and social life
Tonga,The power of advertisements
Trinidad and Tobago,Procrastination
Tunisia,Unemployment
Turkey,Population explosion
Turkmenistan,Sexual abuse
Uganda,Lack of infrastructure
Ukraine,Prostitution
United Arab Emirates,Alcoholism
United Kingdom,Political Corruption
United States,Drug abuse
Uruguay,Economic Deprivation
Uzbekistan,Delinquency
Vanuatu,Anti social behavior
Venezuela,Beggary
Vietnam,Public health
"Virgin Islands, U.S.",Social inequality
Yemen,Education and public schools
Zambia,Crime and the justice system
Zimbabwe,Hunger